robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
40,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.373039,-0.175741,0.664289
80,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
120,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
160,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
200,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
240,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
280,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.373039,-0.175741,0.664289
320,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.373039,-0.175741,0.664289
360,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
400,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.373039,-0.175741,0.664289
440,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.374191,-0.175986,0.665057
480,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.373039,-0.175741,0.664289
520,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.373039,-0.175741,0.664289
560,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.373039,-0.175741,0.664289
600,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.373039,-0.175741,0.664289
640,0.000000,0.000000,2,1.081716,-0.292859,1.198414,3,-0.373039,-0.175741,0.664289
680,0.000000,0.000000,2,1.121711,-0.302600,1.242993,3,-0.373039,-0.175741,0.664289
720,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
760,0.000000,0.000000,3,-0.367275,-0.172522,0.654139,900,-9999.000000,-9999.000000,-9999.000000
800,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
840,0.000000,0.000000,2,1.113134,-0.302507,1.248130,3,-0.373039,-0.175741,0.664289
880,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
920,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
960,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1000,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1040,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1080,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1120,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1160,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1200,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1240,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1280,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1320,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1360,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1400,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1440,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1480,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1520,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1560,0.000000,0.000000,3,-0.367275,-0.172522,0.654139,900,-9999.000000,-9999.000000,-9999.000000
1600,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1640,0.000000,0.000000,2,0.802373,-0.265382,1.124991,3,-0.373039,-0.175741,0.664289
1680,0.000000,0.000000,2,0.801399,-0.266546,1.132262,3,-0.373039,-0.175741,0.664289
1720,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1760,0.000000,0.000000,2,0.790896,-0.270203,1.137468,3,-0.373039,-0.175741,0.664289
1800,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
1840,0.000000,0.000000,2,0.732724,-0.255732,1.074920,3,-0.373039,-0.175741,0.664289
1880,0.000000,0.000000,2,0.748567,-0.263819,1.107079,3,-0.373039,-0.175741,0.664289
1920,0.000000,0.000000,2,0.748481,-0.267078,1.115246,3,-0.373039,-0.175741,0.664289
1960,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
2000,0.000000,0.000000,2,0.714284,-0.260051,1.088709,3,-0.373039,-0.175741,0.664289
2040,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
2080,0.000000,0.000000,2,0.690930,-0.258597,1.081834,3,-0.373039,-0.175741,0.664289
2120,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
2160,0.000000,0.000000,2,0.680832,-0.260269,1.087343,3,-0.373039,-0.175741,0.664289
2200,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2240,0.000000,0.000000,2,0.637648,-0.249982,1.042836,3,-0.373039,-0.175741,0.664289
2280,0.000000,0.000000,2,0.634413,-0.249962,1.044221,3,-0.373039,-0.175741,0.664289
2320,0.000000,0.000000,2,0.644747,-0.256322,1.068273,3,-0.373039,-0.175741,0.664289
2360,0.000000,0.000000,2,0.645057,-0.257383,1.073954,3,-0.373039,-0.175741,0.664289
2400,0.000000,0.000000,2,0.643188,-0.259003,1.074046,3,-0.373039,-0.175741,0.664289
2440,0.000000,0.000000,2,0.621334,-0.253040,1.048866,3,-0.373039,-0.175741,0.664289
2480,0.000000,0.000000,2,0.619701,-0.253018,1.049464,3,-0.373039,-0.175741,0.664289
2520,0.000000,0.000000,2,0.615246,-0.251484,1.043576,3,-0.373039,-0.175741,0.664289
2560,0.000000,0.000000,2,0.616466,-0.252997,1.050797,3,-0.373039,-0.175741,0.664289
2600,0.000000,0.000000,2,0.591820,-0.245885,1.020297,3,-0.373039,-0.175741,0.664289
2640,0.000000,0.000000,2,0.578156,-0.241931,1.001551,3,-0.373039,-0.175741,0.664289
2680,0.000000,0.000000,2,0.588284,-0.247907,1.023944,3,-0.373039,-0.175741,0.664289
2720,0.000000,0.000000,3,-0.373039,-0.175741,0.664289,900,-9999.000000,-9999.000000,-9999.000000
2760,0.000000,0.000000,2,0.586854,-0.248735,1.028371,3,-0.373039,-0.175741,0.664289
2800,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2840,0.000000,0.000000,2,0.578861,-0.247850,1.027691,3,-0.373039,-0.175741,0.664289
2880,0.000000,0.000000,2,0.577722,-0.247847,1.027537,3,-0.373039,-0.175741,0.664289
2920,0.000000,0.000000,2,0.575721,-0.247832,1.028922,3,-0.373039,-0.175741,0.664289
2960,0.000000,0.000000,2,0.574585,-0.247829,1.028766,3,-0.373039,-0.175741,0.664289
3000,0.000000,0.000000,2,0.571087,-0.246675,1.024201,3,-0.373039,-0.175741,0.664289
3040,0.000000,0.000000,2,0.571447,-0.247812,1.029986,3,-0.373039,-0.175741,0.664289
3080,0.000000,0.000000,2,0.572892,-0.248751,1.034327,3,-0.373039,-0.175741,0.664289
3120,0.000000,0.000000,2,0.553629,-0.241697,1.002623,3,-0.373039,-0.175741,0.664289
3160,0.000000,0.000000,2,0.552560,-0.241887,1.004041,3,-0.373039,-0.175741,0.664289
3200,0.000000,0.000000,2,0.555028,-0.244815,1.009926,3,-0.373039,-0.175741,0.664289
3240,0.000000,0.000000,2,0.576085,-0.254766,1.051688,3,-0.373039,-0.175741,0.664289
3280,0.000000,0.000000,2,0.551957,-0.244798,1.011105,3,-0.373039,-0.175741,0.664289
3320,0.000000,0.000000,2,0.572883,-0.254746,1.052900,3,-0.373039,-0.175741,0.664289
3360,0.000000,0.000000,2,0.545618,-0.243643,1.007962,3,-0.367643,-0.172258,0.652602
3400,0.000000,0.000000,2,0.553618,-0.249562,1.029671,3,-0.373039,-0.175741,0.664289
3440,0.000000,0.000000,2,0.539494,-0.243605,1.010243,3,-0.373039,-0.175741,0.664289
3480,0.000000,0.000000,2,0.534510,-0.242356,1.006039,3,-0.373039,-0.175741,0.664289
3520,0.000000,0.000000,2,0.531461,-0.242336,1.007150,3,-0.373039,-0.175741,0.664289
3560,0.000000,0.000000,2,0.532178,-0.243713,1.013692,3,-0.373039,-0.175741,0.664289
3600,0.000000,0.000000,2,0.521924,-0.242565,1.004197,3,-0.373039,-0.175741,0.664289
3640,0.000000,0.000000,2,0.522007,-0.243674,1.009580,3,-0.373039,-0.175741,0.664289
3680,0.000000,0.000000,2,0.519982,-0.244510,1.014400,3,-0.373039,-0.175741,0.664289
3720,0.000000,0.000000,2,0.510894,-0.242305,1.007125,3,-0.373039,-0.175741,0.664289
3760,0.000000,0.000000,2,0.502310,-0.239134,0.990048,3,-0.373039,-0.175741,0.664289
3800,0.000000,0.000000,2,0.484777,-0.233774,0.967216,3,-0.373039,-0.175741,0.664289
3840,0.000000,0.000000,2,0.481876,-0.233759,0.968221,3,-0.373039,-0.175741,0.664289
3880,0.000000,0.000000,2,0.483451,-0.236309,0.972825,3,-0.373039,-0.175741,0.664289
3920,0.000000,0.000000,2,0.480434,-0.236633,0.968191,3,-0.373039,-0.175741,0.664289
