robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
40,0.000000,0.000000,1,0.366753,0.152675,1.373862,3,-0.463840,0.144500,1.348303
80,0.000000,0.000000,1,0.366753,0.152675,1.373862,900,-9999.000000,-9999.000000,-9999.000000
120,0.000000,0.000000,1,0.366753,0.152675,1.373862,3,-0.450670,0.139572,1.311512
160,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
200,0.943161,0.000000,1,0.374309,0.164023,1.371294,3,-0.429890,0.148898,1.273860
240,0.943161,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
280,0.943161,-0.003494,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
320,0.943161,-0.003494,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
360,-0.003493,-0.003494,3,-0.399218,0.148799,1.366581,900,-9999.000000,-9999.000000,-9999.000000
400,-0.003493,-0.003494,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
440,4.348850,3.589412,1,0.461918,0.155998,1.351390,3,-0.361493,0.145476,1.288982
480,4.348850,3.589412,1,0.454870,0.150508,1.310415,3,-0.364211,0.145849,1.318363
520,4.348850,3.589412,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
560,4.348850,3.589412,1,0.462286,0.150493,1.308645,3,-0.349622,0.143911,1.252054
600,4.348850,3.589412,3,-0.348317,0.143692,1.250606,1,0.453845,0.145162,1.268994
640,5.334149,5.315412,3,-0.359568,0.149021,1.288788,1,0.469876,0.148139,1.301824
680,5.334149,5.315412,3,-0.347132,0.144995,1.246236,1,0.473564,0.148129,1.300889
720,6.090110,5.976797,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
760,6.090110,5.976797,3,-0.352312,0.155833,1.286100,900,-9999.000000,-9999.000000,-9999.000000
800,6.090110,5.976797,3,-0.334288,0.150636,1.252550,900,-9999.000000,-9999.000000,-9999.000000
840,6.788675,6.461969,3,-0.320937,0.145852,1.220400,900,-9999.000000,-9999.000000,-9999.000000
880,6.788675,6.461969,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
920,7.496717,6.516957,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
960,7.496717,6.516957,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1000,7.638416,6.262278,3,-0.246326,0.138934,1.229852,900,-9999.000000,-9999.000000,-9999.000000
1040,7.638416,6.262278,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1080,7.638416,6.262278,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1120,7.663957,6.275231,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1160,7.663957,6.275231,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
