robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
40,0.000000,0.000000,2,0.934464,-0.265269,1.026740,3,-0.372377,-0.178469,0.680088
80,0.000000,0.000000,2,0.934464,-0.265269,1.026740,3,-0.372377,-0.178469,0.680088
120,0.000000,0.000000,2,0.934464,-0.265269,1.026740,3,-0.372377,-0.178469,0.680088
160,0.000000,0.000000,2,0.948295,-0.268511,1.042684,3,-0.372377,-0.178469,0.680088
200,0.000000,0.000000,2,0.946090,-0.267872,1.041494,3,-0.372377,-0.178469,0.680088
240,0.000000,0.000000,2,0.944667,-0.269260,1.039528,3,-0.365714,-0.175329,0.670406
280,0.000000,0.000000,2,0.930938,-0.265239,1.028916,3,-0.372377,-0.178469,0.680088
320,0.000000,0.000000,2,0.930938,-0.265239,1.028916,3,-0.372377,-0.178469,0.680088
360,0.000000,0.000000,2,0.907806,-0.261237,1.008936,3,-0.372377,-0.178469,0.680088
400,0.000000,0.000000,2,0.921554,-0.265806,1.027285,3,-0.372377,-0.178469,0.680088
440,0.000000,0.000000,2,0.906328,-0.262050,1.014848,3,-0.372377,-0.178469,0.680088
480,0.000000,0.000000,2,0.913881,-0.264757,1.026209,3,-0.372377,-0.178469,0.680088
520,0.000000,0.000000,2,0.903070,-0.262082,1.017194,3,-0.372377,-0.178469,0.680088
560,0.000000,0.000000,2,0.861139,-0.252815,0.976634,3,-0.372377,-0.178469,0.680088
600,0.000000,0.000000,2,0.880089,-0.259918,1.001772,3,-0.365714,-0.175329,0.670406
640,0.000000,0.000000,3,-0.372377,-0.178469,0.680088,900,-9999.000000,-9999.000000,-9999.000000
680,0.000000,0.000000,2,0.892713,-0.265487,1.022888,3,-0.365714,-0.175329,0.670406
720,0.000000,0.000000,2,0.861423,-0.258042,0.991762,3,-0.372377,-0.178469,0.680088
760,0.000000,0.000000,2,0.844779,-0.255411,0.981936,3,-0.372377,-0.178469,0.680088
800,0.000000,0.000000,3,-0.372377,-0.178469,0.680088,900,-9999.000000,-9999.000000,-9999.000000
840,0.000000,0.000000,2,0.835633,-0.256300,0.983384,3,-0.372377,-0.178469,0.680088
880,0.000000,0.000000,3,-0.372377,-0.178469,0.680088,900,-9999.000000,-9999.000000,-9999.000000
920,0.000000,0.000000,2,0.831504,-0.258827,0.990669,3,-0.365714,-0.175329,0.670406
960,0.000000,0.000000,2,0.797588,-0.251919,0.966575,3,-0.365714,-0.175329,0.670406
1000,0.000000,0.000000,2,0.812593,-0.260333,0.990755,3,-0.372377,-0.178469,0.680088
1040,0.000000,0.000000,2,0.813622,-0.262133,1.000953,3,-0.372377,-0.178469,0.680088
1080,0.000000,0.000000,2,0.807728,-0.261594,1.001202,3,-0.372377,-0.178469,0.680088
1120,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1160,0.000000,0.000000,2,0.772425,-0.257564,0.985594,3,-0.372377,-0.178469,0.680088
1200,0.000000,0.000000,3,-0.372377,-0.178469,0.680088,900,-9999.000000,-9999.000000,-9999.000000
1240,0.000000,0.000000,2,0.755512,-0.257195,0.984254,3,-0.372377,-0.178469,0.680088
1280,0.000000,0.000000,3,-0.372377,-0.178469,0.680088,900,-9999.000000,-9999.000000,-9999.000000
1320,0.000000,0.000000,2,0.702493,-0.245797,0.943086,900,-9999.000000,-9999.000000,-9999.000000
1360,0.000000,0.000000,2,0.717094,-0.254743,0.969825,3,-0.372377,-0.178469,0.680088
1400,0.000000,0.000000,2,0.712072,-0.254617,0.971886,3,-0.372377,-0.178469,0.680088
1440,0.000000,0.000000,2,0.688395,-0.248648,0.949286,3,-0.372377,-0.178469,0.680088
1480,0.000000,0.000000,2,0.683874,-0.248642,0.951708,3,-0.372377,-0.178469,0.680088
1520,0.000000,0.000000,2,0.674657,-0.248571,0.956322,3,-0.372377,-0.178469,0.680088
1560,0.000000,0.000000,2,0.636673,-0.238160,0.913431,3,-0.372377,-0.178469,0.680088
1600,0.000000,0.000000,2,0.643629,-0.242986,0.930465,3,-0.372377,-0.178469,0.680088
1640,0.000000,0.000000,2,0.655903,-0.250473,0.959748,3,-0.372377,-0.178469,0.680088
1680,0.000000,0.000000,2,0.619069,-0.240068,0.916977,3,-0.372377,-0.178469,0.680088
1720,0.000000,0.000000,3,-0.372377,-0.178469,0.680088,900,-9999.000000,-9999.000000,-9999.000000
1760,0.000000,0.000000,2,0.601105,-0.240665,0.921216,3,-0.372377,-0.178469,0.680088
1800,0.000000,0.000000,2,0.583649,-0.236617,0.905687,3,-0.372377,-0.178469,0.680088
