robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
100,11.349056,8.755664,3,-0.667945,0.243819,1.559787,1,0.136999,0.257146,1.770698
200,12.032034,10.244030,1,0.139443,0.215580,1.655996,2,-9999.000000,-9999.000000,-9999.000000
300,13.564594,11.155520,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
400,12.804045,11.116422,1,0.092755,0.191289,1.663358,3,-0.660673,0.154242,1.451355
500,12.998303,11.717074,1,0.089611,0.211268,1.724279,2,-9999.000000,-9999.000000,-9999.000000
600,12.433674,11.127255,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
700,10.355688,7.001427,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
800,7.865534,3.737028,1,0.024047,0.143687,1.664277,2,-9999.000000,-9999.000000,-9999.000000
900,6.456521,3.737028,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1000,7.459141,5.402243,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1100,7.427470,5.368669,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1200,7.937712,6.335755,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1300,8.571624,8.157539,3,-0.381380,0.134794,1.415729,2,-9999.000000,-9999.000000,-9999.000000
1400,8.756030,8.707830,1,0.399727,0.147228,1.450995,3,-0.389275,0.134782,1.414258
1500,8.855423,8.658128,1,0.428153,0.154699,1.511506,3,-0.391845,0.139729,1.402479
1600,8.532725,8.550034,1,0.417556,0.146116,1.404582,3,-0.380261,0.137179,1.368037
1700,8.256639,8.726222,1,0.395697,0.139891,1.356411,2,-9999.000000,-9999.000000,-9999.000000
1800,7.939920,8.594146,1,0.390157,0.143336,1.372309,2,-9999.000000,-9999.000000,-9999.000000
1900,8.449378,8.607810,1,0.387528,0.148783,1.369773,3,-0.422525,0.139514,1.271695
2000,8.609934,8.345182,1,0.380034,0.141338,1.281075,3,-0.401332,0.132089,1.203368
2100,8.698061,7.865830,3,-0.407832,0.132616,1.190032,2,-9999.000000,-9999.000000,-9999.000000
2200,8.260223,7.865830,1,0.403527,0.142254,1.188117,2,-9999.000000,-9999.000000,-9999.000000
2300,7.198863,7.251983,1,0.404891,0.137562,1.168632,3,-0.385430,0.134057,1.170258
2400,6.393615,7.294946,1,0.376268,0.140700,1.172883,2,-9999.000000,-9999.000000,-9999.000000
2500,5.411321,6.517971,1,0.339909,0.139194,1.144956,2,-9999.000000,-9999.000000,-9999.000000
2600,4.729343,5.757242,1,0.307266,0.138449,1.124376,2,-9999.000000,-9999.000000,-9999.000000
2700,4.729343,5.213782,1,0.293903,0.144330,1.141735,3,-0.485738,0.135673,1.017964
2800,4.535049,5.213782,1,0.281313,0.147569,1.144146,3,-0.504197,0.134645,1.003799
2900,4.535049,4.131905,3,-0.504431,0.112543,0.982137,2,-9999.000000,-9999.000000,-9999.000000
3000,4.535049,4.131905,1,0.271281,0.158498,1.127146,3,-0.516151,0.146406,0.998532
3100,0.000000,0.000000,1,0.261350,0.144500,1.098819,3,-0.509030,0.134534,0.981182
3200,0.000000,0.000000,1,0.267750,0.142091,1.103266,3,-0.503739,0.132574,0.978983
3300,0.000000,0.000000,1,0.263617,0.143013,1.098307,3,-0.505209,0.134138,0.978729
3400,0.000000,0.000000,1,0.263617,0.143013,1.098307,3,-0.505209,0.134138,0.978729
3500,0.865152,4.131905,3,-0.521523,0.142600,1.012048,1,0.256615,0.141756,1.059657
3600,0.865152,0.843585,1,0.272080,0.145030,1.101571,3,-0.505209,0.134138,0.978729
3700,3.673675,0.843585,1,0.271576,0.150596,1.084504,3,-0.510872,0.139490,0.972620
3800,6.418839,7.194492,1,0.272130,0.146683,1.045193,3,-0.486097,0.128866,0.911272
3900,8.415749,7.756917,1,0.279772,0.147472,1.027076,3,-0.492351,0.128452,0.906042
4000,8.619506,8.050353,1,0.290757,0.145953,0.985217,3,-0.482936,0.133032,0.885213
4100,8.739458,8.842206,1,0.303620,0.149315,0.986404,3,-0.480936,0.135821,0.861823
4200,8.739215,9.005521,1,0.287446,0.139808,0.917431,3,-0.475593,0.132697,0.812145
4300,8.580759,9.011207,1,0.279817,0.139307,0.886607,3,-0.482802,0.132165,0.776917
4400,8.793671,8.565895,1,0.284737,0.142016,0.863941,3,-0.482840,0.133239,0.754628
4500,8.842455,8.569752,1,0.290208,0.137118,0.819379,3,-0.465190,0.124610,0.711483
4600,8.899596,8.557257,1,0.289785,0.135000,0.786789,3,-0.465005,0.121969,0.681598
4700,8.399203,8.494522,1,0.293915,0.135788,0.764884,3,-0.468621,0.122119,0.656580
4800,-7.965702,-8.402349,1,0.285118,0.133071,0.743227,3,-0.488591,0.125717,0.635585
4900,-7.965702,-8.402349,3,-0.489222,0.104726,0.591918,1,0.264859,0.107555,0.714100
5000,7.965702,0.000000,1,0.264658,0.136098,0.729691,3,-0.493124,0.129176,0.589172
5100,-7.965702,-2.180783,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
5200,-1.811756,-5.339818,1,0.331675,0.135974,0.727226,3,-0.433831,0.123873,0.653619
5300,-5.766600,-7.186177,1,0.344652,0.131563,0.725519,3,-0.417043,0.125429,0.696111
5400,7.900000,7.900000,1,0.367277,0.129301,0.751088,3,-0.398993,0.119495,0.730822
5500,-7.799983,-8.216024,1,0.386189,0.139034,0.779482,3,-0.388248,0.132715,0.773719
5600,-8.117261,-8.720890,1,0.392747,0.130177,0.778804,2,-9999.000000,-9999.000000,-9999.000000
5700,-8.874193,-9.442899,1,0.405846,0.134267,0.797616,3,-0.357259,0.138034,0.853937
5800,-9.012629,-9.876699,1,0.432535,0.141704,0.851858,3,-0.339888,0.137540,0.885071
5900,-9.315434,-9.701689,1,0.438816,0.140333,0.872224,3,-0.327088,0.132761,0.914371
6000,-9.161864,-9.149317,1,0.441535,0.142207,0.906143,3,-0.328855,0.136767,0.954344
6100,8.563442,8.098210,1,0.449379,0.142689,0.942536,3,-0.322078,0.133930,0.980928
6200,8.563442,8.098210,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
6300,2.739666,3.406434,1,0.604428,0.150475,0.922307,3,-0.169553,0.147442,1.027769
6400,2.739666,4.800342,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
6500,4.407605,6.277866,1,0.552492,0.142634,0.877808,3,-0.214023,0.142071,1.029519
6600,5.927156,6.637776,1,0.550043,0.144542,0.883307,3,-0.224463,0.140038,0.977500
6700,7.740327,8.059673,1,0.530235,0.140432,0.854026,3,-0.240236,0.139084,0.953603
6800,8.166344,8.440180,1,0.517809,0.139086,0.833914,3,-0.254644,0.141460,0.925999
6900,8.314577,8.468405,1,0.507242,0.135880,0.789964,3,-0.250037,0.135293,0.871470
7000,8.586860,8.506603,3,-0.249001,0.137098,0.847792,2,-9999.000000,-9999.000000,-9999.000000
7100,8.603565,8.758473,1,0.510466,0.138938,0.733918,3,-0.255546,0.138211,0.833617
7200,8.367420,8.777079,1,0.498498,0.135827,0.708605,3,-0.263741,0.131485,0.789672
7300,8.265115,8.394039,1,0.492061,0.133557,0.691996,3,-0.275115,0.130115,0.755271
7400,7.780077,8.500731,1,0.477155,0.132651,0.671761,3,-0.294610,0.133880,0.736612
7500,8.062135,8.235310,3,-0.289216,0.128619,0.675263,1,0.469868,0.126692,0.647666
7600,9.093147,8.000815,3,-0.279386,0.126421,0.666341,2,-9999.000000,-9999.000000,-9999.000000
7700,9.367961,8.053244,3,-0.258768,0.125265,0.647938,2,-9999.000000,-9999.000000,-9999.000000
7800,9.520633,8.620453,3,-0.229819,0.122436,0.620966,2,-9999.000000,-9999.000000,-9999.000000
7900,9.435521,9.349690,1,0.540558,0.125178,0.484699,3,-0.221228,0.120482,0.583562
8000,8.829401,8.972710,3,-0.226343,0.117901,0.552461,2,-9999.000000,-9999.000000,-9999.000000
8100,8.263158,8.845070,3,-0.230512,0.122948,0.522268,2,-9999.000000,-9999.000000,-9999.000000
8200,5.403034,7.298931,3,-0.233878,0.112881,0.490146,2,-9999.000000,-9999.000000,-9999.000000
8300,5.403034,7.298931,3,-0.230873,0.121626,0.479307,2,-9999.000000,-9999.000000,-9999.000000
8400,-0.000000,0.000000,3,-0.230890,0.122607,0.482774,2,-9999.000000,-9999.000000,-9999.000000
8500,-5.403034,7.298931,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
8600,-1.885116,1.800283,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
8700,-1.885116,3.867376,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
8800,0.000000,3.867376,1,0.272583,0.127758,0.568817,2,-9999.000000,-9999.000000,-9999.000000
8900,0.000000,0.000000,1,0.273018,0.127082,0.569641,2,-9999.000000,-9999.000000,-9999.000000
