robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
6500,-0.000000,-0.000000,2,-0.389300,0.211979,0.944243,3,0.539991,0.136934,0.514613
6600,-0.000000,-0.000000,2,-0.380057,0.213785,0.941810,3,0.539991,0.136934,0.514613
6700,-0.000000,-0.000000,2,-0.373273,0.216088,0.947237,3,0.531642,0.134776,0.508435
6800,-0.000000,-0.000000,2,-0.340485,0.209264,0.910203,3,0.539991,0.136934,0.514613
6900,-0.000000,-0.000000,2,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
7000,-0.000000,-0.000000,2,-0.298722,0.209492,0.893070,3,0.531642,0.134776,0.508435
7100,-0.000000,-0.000000,2,-0.276189,0.207063,0.877860,3,-9999.000000,-9999.000000,-9999.000000
7200,-0.000000,-0.000000,2,-0.245691,0.201273,0.841454,3,0.531642,0.134776,0.508435
7300,-0.000000,-0.000000,2,-0.230273,0.199627,0.829048,3,0.539991,0.136934,0.514613
7400,-0.000000,-0.000000,2,-0.218023,0.200958,0.826615,3,0.539991,0.136934,0.514613
7500,-0.000000,-0.000000,2,-0.188293,0.197341,0.795909,3,0.531642,0.134776,0.508435
7600,-0.000000,-0.000000,2,-0.167198,0.194603,0.773229,3,0.539991,0.136934,0.514613
7700,-0.000000,-0.000000,2,-0.141195,0.194136,0.759052,3,0.531642,0.134776,0.508435
7800,-0.000000,-0.000000,3,0.539991,0.136934,0.514613,2,-9999.000000,-9999.000000,-9999.000000
7900,-0.000000,-0.000000,2,-0.098750,0.192792,0.736723,3,0.531642,0.134776,0.508435
8000,-0.000000,-0.000000,2,-0.070868,0.188975,0.712240,3,0.539991,0.136934,0.514613
8100,0.000000,0.000000,2,-0.044102,0.187724,0.699228,3,0.531642,0.134776,0.508435
8200,-0.000000,-0.000000,2,-0.018906,0.184083,0.671733,3,0.539991,0.136934,0.514613
8300,0.000000,0.000000,3,0.539991,0.136934,0.514613,2,-9999.000000,-9999.000000,-9999.000000
8400,-0.000000,-0.000000,2,0.020552,0.177157,0.629350,3,-9999.000000,-9999.000000,-9999.000000
8500,0.000000,0.000000,2,0.023639,0.177312,0.629786,3,0.539991,0.136934,0.514613
8600,-0.000000,-0.000000,2,0.022309,0.177150,0.629282,3,0.531642,0.134776,0.508435
8700,-0.000000,-0.000000,2,0.012824,0.175161,0.612497,3,0.539991,0.136934,0.514613
8800,0.000000,0.000000,2,-0.003559,0.177378,0.608898,3,0.539991,0.136934,0.514613
8900,-0.000000,-0.000000,2,-0.004789,0.177602,0.606739,3,0.539991,0.136934,0.514613
9000,-0.000000,-0.000000,2,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
9100,-0.000000,-0.000000,2,-0.004681,0.174620,0.597964,3,0.539991,0.136934,0.514613
9200,0.000000,0.000000,2,-0.004617,0.173368,0.592281,3,0.531642,0.134776,0.508435
9300,0.000000,0.000000,2,0.003352,0.179924,0.620952,3,0.539991,0.136934,0.514613
9400,0.000000,0.000000,3,0.531642,0.134776,0.508435,2,0.013899,0.177884,0.623706
9500,-0.000000,-0.000000,2,0.023586,0.175464,0.629878,3,0.539991,0.136934,0.514613
9600,-0.000000,-0.000000,2,0.023873,0.178106,0.637646,3,0.539991,0.136934,0.514613
9700,-0.000000,-0.000000,2,0.024247,0.181471,0.648002,3,0.531642,0.134776,0.508435
9800,-0.000000,-0.000000,2,0.023873,0.178106,0.637646,3,0.539991,0.136934,0.514613
9900,-0.000000,-0.000000,2,0.024247,0.181471,0.648002,3,0.539991,0.136934,0.514613
10000,-0.000000,-0.000000,3,0.539991,0.136934,0.514613,2,0.013029,0.177918,0.623798
10100,-0.000000,-0.000000,3,0.531642,0.134776,0.508435,2,-0.000987,0.178628,0.614725
10200,0.000000,0.000000,2,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
10300,-0.000000,-0.000000,2,-0.011974,0.177571,0.601794,3,0.531642,0.134776,0.508435
10400,0.000000,0.000000,2,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
10500,-0.000000,-0.000000,2,-0.011739,0.178860,0.607675,3,0.531642,0.134776,0.508435
