robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
1280,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
1300,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
1320,0.000000,0.000000,2,0.956422,-0.264286,1.041464,3,-0.420504,-0.168866,0.626214
1340,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
1360,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
1380,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.415213,-0.166868,0.616304
1400,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.415213,-0.166868,0.616304
1420,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
1440,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
1460,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
1480,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420291,-0.168608,0.624907
1500,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420291,-0.168608,0.624907
1520,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
1540,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
1560,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
1580,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.419950,-0.168286,0.623424
1600,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1620,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.419950,-0.168286,0.623424
1640,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1660,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
1680,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
1700,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
1720,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
1740,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.420504,-0.168866,0.626214
1760,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.420504,-0.168866,0.626214
1780,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.420504,-0.168866,0.626214
1800,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.420504,-0.168866,0.626214
1820,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
1840,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
1860,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
1880,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.419950,-0.168286,0.623424
1900,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1920,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.420504,-0.168866,0.626214
1940,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.420504,-0.168866,0.626214
1960,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.420504,-0.168866,0.626214
1980,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
2000,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
2020,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
2040,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.419950,-0.168286,0.623424
2060,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.419950,-0.168286,0.623424
2080,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.420291,-0.168608,0.624907
2100,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2120,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.419950,-0.168286,0.623424
2140,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
2160,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
2180,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.420504,-0.168866,0.626214
2200,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.419950,-0.168286,0.623424
2220,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.419950,-0.168286,0.623424
2240,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.420504,-0.168866,0.626214
2260,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.420504,-0.168866,0.626214
2280,0.000000,0.000000,2,0.956422,-0.264286,1.041464,3,-0.420504,-0.168866,0.626214
2300,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2320,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420291,-0.168608,0.624907
2340,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
2360,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
2380,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.419950,-0.168286,0.623424
2400,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.420504,-0.168866,0.626214
2420,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.420504,-0.168866,0.626214
2440,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
2460,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
2480,0.000000,0.000000,2,0.949246,-0.262734,1.036514,3,-0.419950,-0.168286,0.623424
2500,0.000000,0.000000,2,0.949246,-0.262734,1.036514,3,-0.419950,-0.168286,0.623424
2520,0.000000,0.000000,2,0.949246,-0.262734,1.036514,3,-0.419950,-0.168286,0.623424
2540,0.000000,0.000000,2,0.949246,-0.262734,1.036514,3,-0.420504,-0.168866,0.626214
2560,0.000000,0.000000,2,0.949246,-0.262734,1.036514,3,-0.420504,-0.168866,0.626214
2580,0.000000,0.000000,2,0.949246,-0.262734,1.036514,3,-0.420504,-0.168866,0.626214
2600,0.000000,0.000000,2,0.989288,-0.274198,1.081870,3,-0.420291,-0.168608,0.624907
2620,0.000000,0.000000,2,0.989288,-0.274198,1.081870,3,-0.420291,-0.168608,0.624907
2640,0.000000,0.000000,2,0.941578,-0.262865,1.030862,3,-0.420504,-0.168866,0.626214
2660,0.000000,0.000000,2,0.941578,-0.262865,1.030862,3,-0.420504,-0.168866,0.626214
2680,0.000000,0.000000,2,0.920856,-0.258408,1.010856,3,-0.420504,-0.168866,0.626214
2700,0.000000,0.000000,2,0.985336,-0.277834,1.083237,3,-0.420291,-0.168608,0.624907
2720,0.000000,0.000000,2,0.985336,-0.277834,1.083237,3,-0.420291,-0.168608,0.624907
2740,0.000000,0.000000,2,0.923302,-0.261147,1.018157,3,-0.420504,-0.168866,0.626214
2760,0.000000,0.000000,2,0.923302,-0.261147,1.018157,3,-0.420504,-0.168866,0.626214
2780,0.000000,0.000000,3,-0.420504,-0.168866,0.626214,900,-9999.000000,-9999.000000,-9999.000000
2800,0.000000,0.000000,2,0.908431,-0.260028,1.007024,3,-0.419950,-0.168286,0.623424
2820,0.000000,0.000000,2,0.908431,-0.260028,1.007024,3,-0.419950,-0.168286,0.623424
2840,0.000000,0.000000,2,0.905436,-0.260130,1.009648,3,-0.420504,-0.168866,0.626214
2860,0.000000,0.000000,2,0.905436,-0.260130,1.009648,3,-0.420504,-0.168866,0.626214
2880,0.000000,0.000000,2,0.907930,-0.263119,1.015311,3,-0.420504,-0.168866,0.626214
2900,0.000000,0.000000,2,0.878604,-0.255253,0.986786,3,-0.420504,-0.168866,0.626214
2920,0.000000,0.000000,2,0.878604,-0.255253,0.986786,3,-0.420504,-0.168866,0.626214
2940,0.000000,0.000000,2,0.906238,-0.265019,1.022087,3,-0.420504,-0.168866,0.626214
2960,0.000000,0.000000,2,0.906238,-0.265019,1.022087,3,-0.420504,-0.168866,0.626214
2980,0.000000,0.000000,2,0.872647,-0.257274,0.990245,3,-0.420504,-0.168866,0.626214
3000,0.000000,0.000000,3,-0.420291,-0.168608,0.624907,900,-9999.000000,-9999.000000,-9999.000000
3020,0.000000,0.000000,3,-0.420291,-0.168608,0.624907,900,-9999.000000,-9999.000000,-9999.000000
3040,0.000000,0.000000,2,0.836250,-0.251286,0.956693,3,-0.420504,-0.168866,0.626214
3060,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3080,0.000000,0.000000,2,0.833525,-0.251416,0.959245,3,-0.420504,-0.168866,0.626214
3100,0.000000,0.000000,2,0.830831,-0.252708,0.961203,3,-0.420504,-0.168866,0.626214
3120,0.000000,0.000000,2,0.830831,-0.252708,0.961203,3,-0.420504,-0.168866,0.626214
3140,0.000000,0.000000,2,0.808952,-0.247778,0.941197,3,-0.420504,-0.168866,0.626214
3160,0.000000,0.000000,2,0.808952,-0.247778,0.941197,3,-0.420504,-0.168866,0.626214
3180,0.000000,0.000000,2,0.825000,-0.254972,0.965877,3,-0.420504,-0.168866,0.626214
3200,0.000000,0.000000,2,0.813521,-0.254274,0.960683,3,-0.420504,-0.168866,0.626214
3220,0.000000,0.000000,2,0.813521,-0.254274,0.960683,3,-0.420504,-0.168866,0.626214
3240,0.000000,0.000000,2,0.819871,-0.257923,0.973483,3,-0.420504,-0.168866,0.626214
3260,0.000000,0.000000,2,0.819871,-0.257923,0.973483,3,-0.420504,-0.168866,0.626214
3280,0.000000,0.000000,2,0.817175,-0.258081,0.976077,3,-0.420504,-0.168866,0.626214
3300,0.000000,0.000000,2,0.803740,-0.257412,0.965633,3,-0.419950,-0.168286,0.623424
3320,0.000000,0.000000,2,0.803740,-0.257412,0.965633,3,-0.419950,-0.168286,0.623424
3340,0.000000,0.000000,2,0.766743,-0.248055,0.929155,3,-0.420504,-0.168866,0.626214
3360,0.000000,0.000000,2,0.766743,-0.248055,0.929155,3,-0.420504,-0.168866,0.626214
3380,0.000000,0.000000,2,0.760476,-0.248330,0.927787,3,-0.420504,-0.168866,0.626214
3400,0.000000,0.000000,2,0.755534,-0.248480,0.931609,3,-0.420504,-0.168866,0.626214
3420,0.000000,0.000000,2,0.755534,-0.248480,0.931609,3,-0.420504,-0.168866,0.626214
3440,0.000000,0.000000,2,0.731088,-0.242502,0.907156,3,-0.415213,-0.166868,0.616304
3460,0.000000,0.000000,2,0.758935,-0.255663,0.950645,900,-9999.000000,-9999.000000,-9999.000000
3480,0.000000,0.000000,2,0.758935,-0.255663,0.950645,3,-0.420291,-0.168608,0.624907
3500,0.000000,0.000000,2,0.722470,-0.245583,0.912164,3,-0.419950,-0.168286,0.623424
3520,0.000000,0.000000,2,0.722470,-0.245583,0.912164,3,-0.419950,-0.168286,0.623424
3540,0.000000,0.000000,2,0.711004,-0.244117,0.907707,3,-0.420504,-0.168866,0.626214
3560,0.000000,0.000000,2,0.728465,-0.253459,0.938348,3,-0.420291,-0.168608,0.624907
3580,0.000000,0.000000,2,0.728465,-0.253459,0.938348,3,-0.420291,-0.168608,0.624907
3600,0.000000,0.000000,2,0.701917,-0.246999,0.911862,3,-0.420291,-0.168608,0.624907
3620,0.000000,0.000000,2,0.701917,-0.246999,0.911862,3,-0.420291,-0.168608,0.624907
3640,0.000000,0.000000,2,0.695928,-0.247290,0.916578,3,-0.420504,-0.168866,0.626214
3660,0.000000,0.000000,2,0.658381,-0.237021,0.875788,3,-0.420504,-0.168866,0.626214
3680,0.000000,0.000000,2,0.658381,-0.237021,0.875788,3,-0.420504,-0.168866,0.626214
3700,0.000000,0.000000,2,0.683794,-0.250140,0.922110,3,-0.420504,-0.168866,0.626214
3720,0.000000,0.000000,2,0.683794,-0.250140,0.922110,3,-0.420504,-0.168866,0.626214
3740,0.000000,0.000000,2,0.658905,-0.244016,0.899986,3,-0.420504,-0.168866,0.626214
3760,0.000000,0.000000,2,0.641221,-0.239743,0.884124,3,-0.420504,-0.168866,0.626214
3780,0.000000,0.000000,2,0.641221,-0.239743,0.884124,3,-0.420504,-0.168866,0.626214
3800,0.000000,0.000000,2,0.628401,-0.238657,0.878213,3,-0.420504,-0.168866,0.626214
3820,0.000000,0.000000,2,0.628401,-0.238657,0.878213,3,-0.420504,-0.168866,0.626214
